election_id,election_name,votetype_id,votetype_description,date,rs,election_type
6768,Gemeinderatswahl 2024 - Stadt Meßkirch,0,NA,2024-06-09,84375003078,6
7161,Ortschaftswahl Rohrdorf - Ortschaft Rohrdorf,0,NA,2024-06-09,84375003078,8
7156,Ortschaftsratswahl Heudorf - Ortschaft Heudorf,0,NA,2024-06-09,84375003078,8
2633,Kreistagswahl 2024 - Stadt Meßkirch,0,NA,2024-06-09,84375003078,5
7160,Ortschaftsratswahl Ringgenbach - Ortschaft Ringgenbach,0,NA,2024-06-09,84375003078,8
429,Bundestagswahl 2017 - Gemeinde Leibertingen,0,Erststimmen,2017-09-24,84375003072,2
429,Bundestagswahl 2017 - Gemeinde Leibertingen,1,Zweitstimmen,2017-09-24,84375003072,2
1423,Europawahl 2019 - Europa (Ergeb. Leibertingen),0,NA,2019-05-26,84375003072,1
4643,Gemeinderat 2019 - Gemeinde Leibertingen,0,NA,2019-05-26,84375003072,6
4644,Ortschaftsrat Kreenheinstetten 2019 - Ortschaft Kreenheinstetten,0,NA,2019-05-26,84375003072,8
4856,Ortschaftsrat Thalheim 2019 - Ortschaft Thalheim,0,NA,2019-05-26,84375003072,8
4857,Ortschaftsrat Altheim 2019 - Ortschaft Altheim,0,NA,2019-05-26,84375003072,8
2154,Kreistagswahl 2019 - Kreistag (Ergeb. Leibertingen),0,NA,2019-05-26,84375003072,5
468,Bundestagswahl 2021 - Gemeinde Leibertingen,0,Erststimmen,2021-09-26,84375003072,2
468,Bundestagswahl 2021 - Gemeinde Leibertingen,1,Zweitstimmen,2021-09-26,84375003072,2
1763,Europawahl 2024 - Gemeinde Leibertingen,0,NA,2024-06-09,84375003072,1
5372,Gemeinderat Leibertingen - Gemeinde Leibertingen,0,NA,2024-06-09,84375003072,6
5373,Ortschaftsrat Kreenheinstetten - Kreenheinstetten,0,NA,2024-06-09,84375003072,8
5374,Ortschaftsrat Thalheim - Thalheim,0,NA,2024-06-09,84375003072,8
5375,Ortschaftsrat Altheim - Altheim,0,NA,2024-06-09,84375003072,8
2633,Kreistagswahl 2024 - Gemeinde Leibertingen,0,NA,2024-06-09,84375003072,5
1423,Europawahl 2019 - Stadt Scheer,0,NA,2019-05-26,84375002101,1
4663,Gemeinderatswahl Stadt Scheer 2019 - Stadt Scheer,0,NA,2019-05-26,84375002101,6
2154,Kreistagswahl 2019 - Stadt Scheer,0,NA,2019-05-26,84375002101,5
468,Bundestagswahl 2021 - Stadt Scheer,0,Erststimmen,2021-09-26,84375002101,2
468,Bundestagswahl 2021 - Stadt Scheer,1,Zweitstimmen,2021-09-26,84375002101,2
4699,Bürgermeisterwahl Stadt Scheer - Stadt Scheer,0,NA,2024-02-18,84375002101,7
1763,Europawahl 2024 - Stadt Scheer,0,NA,2024-06-09,84375002101,1
5571,Gemeinderatswahl Stadt Scheer - Stadt Scheer,0,NA,2024-06-09,84375002101,6
